date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.0231;0.00347855;0.0229576;0.00041789;0.0217
0.0232;0.00347626;0.0229587;0.00042018;0.0218
0.0233;0.00347396;0.0229597;0.00042248;0.0219
0.0234;0.00347167;0.0229608;0.00042477;0.022
0.0235;0.00346937;0.0229618;0.00042707;0.0221
0.0236;0.00346708;0.0229627;0.00042936;0.0222
0.0237;0.00346478;0.0229637;0.00043166;0.0223
0.0238;0.00346248;0.0229646;0.00043396;0.0224
0.0239;0.00346018;0.0229655;0.00043626;0.0225
0.024;0.00345789;0.0229663;0.00043855;0.0226
0.0241;0.00345559;0.0229671;0.00044085;0.0227
0.0242;0.00345329;0.0229679;0.00044315;0.0228
0.0243;0.003451;0.0229687;0.00044544;0.0229
0.0244;0.0034487;0.0229695;0.00044774;0.023
0.0245;0.0034464;0.0229702;0.00045004;0.0231
0.0246;0.00344411;0.0229709;0.00045233;0.0232
0.0247;0.00344181;0.0229716;0.00045463;0.0233
0.0248;0.00343951;0.0229722;0.00045693;0.0234
0.0249;0.00343722;0.0229729;0.00045922;0.0235
0.025;0.00343492;0.0229735;0.00046152;0.0236
0.0251;0.00343262;0.0229741;0.00046382;0.0237
0.0252;0.00343032;0.0229747;0.00046612;0.0238
0.0253;0.00342803;0.0229753;0.00046841;0.0239
0.0254;0.00342573;0.0229758;0.00047071;0.024
0.0255;0.00342343;0.0229763;0.00047301;0.0241
0.0256;0.00342113;0.0229769;0.00047531;0.0242
0.0257;0.00341884;0.0229774;0.0004776;0.0243
0.0258;0.00341654;0.0229778;0.0004799;0.0244
0.0259;0.00341424;0.0229783;0.0004822;0.0245
0.026;0.00341194;0.0229788;0.0004845;0.0246
0.0261;0.00340964;0.0229792;0.0004868;0.0247
0.0262;0.00340735;0.0229796;0.00048909;0.0248
0.0263;0.00340505;0.02298;0.00049139;0.0249
0.0264;0.00340275;0.0229805;0.00049369;0.025
0.0265;0.00340045;0.0229808;0.00049599;0.0251
0.0266;0.00339815;0.0229812;0.00049829;0.0252
0.0267;0.00339586;0.0229816;0.00050058;0.0253
0.0268;0.00339356;0.0229819;0.00050288;0.0254
0.0269;0.00339126;0.0229823;0.00050518;0.0255
0.027;0.00338896;0.0229826;0.00050748;0.0256
0.0271;0.00338666;0.0229829;0.00050978;0.0257
0.0272;0.00338437;0.0229833;0.00051207;0.0258
0.0273;0.00338207;0.0229836;0.00051437;0.0259
0.0274;0.00337977;0.0229839;0.00051667;0.026
0.0275;0.00337747;0.0229841;0.00051897;0.0261
0.0276;0.00337517;0.0229844;0.00052127;0.0262
0.0277;0.00337287;0.0229847;0.00052357;0.0263
0.0278;0.00337058;0.0229849;0.00052586;0.0264
0.0279;0.00336828;0.0229852;0.00052816;0.0265
0.028;0.00336598;0.0229854;0.00053046;0.0266
