Date [s],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0,-1.#IND,-1.#IND
0.0242,0.00677697,0.0417137
0.0243,0.00677275,0.0426852
0.0244,0.00676843,0.0436572
0.0245,0.00676402,0.044629
0.0246,0.00675951,0.0455999
0.0247,0.0067549,0.0465712
0.0248,0.00675019,0.0475424
0.0249,0.00674539,0.0485126
0.025,0.00674049,0.0494833
0.0251,0.00673549,0.0504538
0.0252,0.0067304,0.0514233
0.0253,0.00672521,0.0523934
0.0254,0.00671992,0.0533632
0.0255,0.00671453,0.0543328
0.0256,0.00670906,0.0553015
0.0257,0.00670348,0.0562706
0.0258,0.0066978,0.0572396
0.0259,0.00669203,0.0582076
0.026,0.00668616,0.0591761
0.0261,0.00668019,0.0601444
0.0262,0.00667413,0.0611117
0.0263,0.00666797,0.0620795
0.0264,0.00666171,0.0630471
0.0265,0.00665536,0.0640138
0.0266,0.00664891,0.0649809
0.0267,0.00664236,0.0659478
0.0268,0.00663572,0.0669145
0.0269,0.00662898,0.0678803
0.027,0.00662214,0.0688465
0.0271,0.00661521,0.0698125
0.0272,0.00660818,0.0707776
0.0273,0.00660106,0.0717431
0.0274,0.00659383,0.0727084
0.0275,0.00658652,0.0736728
0.0276,0.0065791,0.0746377
0.0277,0.00657159,0.0756023
0.0278,0.00656398,0.076566
0.0279,0.00655627,0.0775301
0.028,0.00654847,0.0784941
0.0281,0.00654057,0.0794578
0.0282,0.00653258,0.0804205
0.0283,0.00652449,0.0813837
0.0284,0.0065163,0.0823467
0.0285,0.00650802,0.0833088
0.0286,0.00649964,0.0842713
0.0287,0.00649117,0.0852336
0.0288,0.0064826,0.0861949
0.0289,0.00647393,0.0871567
0.029,0.00646516,0.0881183
0.0291,0.00645631,0.0890789
0.0292,0.00644735,0.09004
0.0293,0.0064383,0.0910009
0.0294,0.00642915,0.0919608
0.0295,0.00641991,0.0929212
0.0296,0.00641056,0.0938813
0.0297,0.00640112,0.0948412
0.0298,0.0063916,0.0958001
0.0299,0.00638197,0.0967596
0.03,0.00637224,0.0977188
0.0301,0.00636243,0.098677
0.0302,0.00635251,0.0996357
0.0303,0.00634249,0.100594
0.0304,0.00633239,0.101552
0.0305,0.00632219,0.10251
0.0306,0.00631189,0.103467
0.0307,0.0063015,0.104424
0.0308,0.006291,0.105381
0.0309,0.00628042,0.106338
0.031,0.00626973,0.107295
0.0311,0.00625896,0.108251
0.0312,0.00624808,0.109207
