date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time(s)
0.05;0.00346136;0.0422493;0.00340483;0.0301
0.0501;0.00345717;0.0415959;0.00340902;0.0302
0.0502;0.00345305;0.0409661;0.00341314;0.0303
0.0503;0.00344898;0.0403594;0.00341721;0.0304
0.0504;0.00344497;0.0397752;0.00342122;0.0305
0.0505;0.00344102;0.0392117;0.00342517;0.0306
0.0506;0.00343713;0.0386686;0.00342906;0.0307
0.0507;0.00343329;0.0381451;0.0034329;0.0308
0.0508;0.0034295;0.0376406;0.00343669;0.0309
0.0509;0.00342576;0.0371536;0.00344043;0.031
0.051;0.00342207;0.036684;0.00344412;0.0311
0.0511;0.00341842;0.0362312;0.00344777;0.0312
0.0512;0.00341482;0.035794;0.00345137;0.0313
0.0513;0.00341126;0.0353721;0.00345493;0.0314
0.0514;0.00340775;0.0349653;0.00345844;0.0315
0.0515;0.00340427;0.0345722;0.00346192;0.0316
0.0516;0.00340083;0.0341927;0.00346536;0.0317
0.0517;0.00339743;0.0338266;0.00346876;0.0318
0.0518;0.00339407;0.0334728;0.00347212;0.0319
0.0519;0.00339074;0.0331311;0.00347545;0.032
0.052;0.00338744;0.0328011;0.00347875;0.0321
0.0521;0.00338418;0.0324825;0.00348201;0.0322
0.0522;0.00338094;0.0321745;0.00348525;0.0323
0.0523;0.00337774;0.0318769;0.00348845;0.0324
0.0524;0.00337457;0.0315895;0.00349162;0.0325
0.0525;0.00337142;0.0313116;0.00349477;0.0326
0.0526;0.0033683;0.031043;0.00349789;0.0327
0.0527;0.00336521;0.0307835;0.00350098;0.0328
0.0528;0.00336215;0.0305325;0.00350404;0.0329
0.0529;0.00335911;0.0302898;0.00350708;0.033
0.053;0.00335609;0.0300554;0.0035101;0.0331
0.0531;0.0033531;0.0298285;0.00351309;0.0332
0.0532;0.00335012;0.0296091;0.00351607;0.0333
0.0533;0.00334717;0.029397;0.00351902;0.0334
0.0534;0.00334424;0.0291919;0.00352195;0.0335
0.0535;0.00334134;0.0289935;0.00352485;0.0336
0.0536;0.00333844;0.0288015;0.00352775;0.0337
0.0537;0.00333558;0.0286159;0.00353061;0.0338
0.0538;0.00333272;0.0284362;0.00353347;0.0339
0.0539;0.00332989;0.0282624;0.0035363;0.034
0.054;0.00332707;0.0280943;0.00353912;0.0341
0.0541;0.00332427;0.0279316;0.00354192;0.0342
