Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0297;332.054;0.00432698;0.0229852
0.0298;331.851;0.00432469;0.0229853
0.0299;331.649;0.00432239;0.0229855
0.03;331.448;0.00432009;0.0229856
0.0301;331.249;0.00431779;0.0229858
0.0302;331.051;0.00431549;0.0229859
0.0303;330.854;0.00431319;0.0229861
0.0304;330.659;0.0043109;0.0229862
0.0305;330.464;0.0043086;0.0229863
0.0306;330.271;0.0043063;0.0229864
0.0307;330.079;0.004304;0.0229866
0.0308;329.889;0.0043017;0.0229867
0.0309;329.699;0.0042994;0.0229868
0.031;329.511;0.0042971;0.0229869
0.0311;329.324;0.0042948;0.022987
0.0312;329.138;0.00429251;0.0229871
0.0313;328.953;0.00429021;0.0229872
0.0314;328.77;0.00428791;0.0229873
0.0315;328.587;0.00428561;0.0229874
0.0316;328.406;0.00428331;0.0229875
0.0317;328.226;0.00428101;0.0229876
0.0318;328.047;0.00427871;0.0229877
0.0319;327.87;0.00427641;0.0229877
0.032;327.693;0.00427412;0.0229878
0.0321;327.517;0.00427182;0.0229879
0.0322;327.343;0.00426952;0.022988
0.0323;327.17;0.00426722;0.022988
0.0324;326.997;0.00426492;0.0229881
0.0325;326.826;0.00426262;0.0229882
0.0326;326.656;0.00426032;0.0229883
0.0327;326.487;0.00425802;0.0229883
0.0328;326.319;0.00425572;0.0229884
0.0329;326.153;0.00425343;0.0229884
0.033;325.987;0.00425113;0.0229885
0.0331;325.822;0.00424883;0.0229885
0.0332;325.658;0.00424653;0.0229886
0.0333;325.496;0.00424423;0.0229198
0.0334;325.334;0.00424194;0.0229521
0.0335;325.174;0.00423964;0.0229839
0.0336;325.014;0.00423735;0.0229842
0.0337;324.855;0.00423505;0.0229846
0.0338;324.698;0.00423275;0.022985
0.0339;324.541;0.00423045;0.0229853
0.034;324.386;0.00422815;0.0229856
0.0341;324.231;0.00422585;0.0229859
0.0342;324.078;0.00422355;0.0229862
0.0343;323.925;0.00422126;0.0229864
0.0344;323.773;0.00421896;0.0229866
0.0345;323.623;0.00421666;0.0229868
0.0346;323.473;0.00421436;0.022987
0.0347;323.324;0.00421206;0.0229872
0.0348;323.176;0.00420976;0.0229874
0.0349;323.029;0.00420746;0.0229875
0.035;322.883;0.00420516;0.0229877
0.0351;322.738;0.00420287;0.0229879
0.0352;322.594;0.00420057;0.022988
0.0353;322.451;0.00419827;0.0229882
0.0354;322.309;0.00419597;0.0229883
0.0355;322.167;0.00419367;0.0229885
0.0356;322.027;0.00419137;0.0229886
0.0357;321.887;0.00418907;0.0229887
0.0358;321.749;0.00418677;0.0229888
0.0359;321.611;0.00418448;0.022989
0.036;321.474;0.00418218;0.0229891
0.0361;321.338;0.00417988;0.0229892
0.0362;321.202;0.00417758;0.0229893
0.0363;321.068;0.00417528;0.0229894
0.0364;320.934;0.00417298;0.0229895
0.0365;320.802;0.00417068;0.0229896
0.0366;320.67;0.00416838;0.0229897
0.0367;320.539;0.00416608;0.0229898
0.0368;320.409;0.00416378;0.0229899
0.0369;320.279;0.00416149;0.02299
0.037;320.151;0.00415919;0.0229901
0.0371;320.023;0.00415689;0.0229902
0.0372;319.896;0.00415459;0.0229903
0.0373;319.77;0.00415229;0.0229904
0.0374;319.645;0.00414999;0.0229905
0.0375;319.52;0.00414769;0.0229906
0.0376;319.397;0.00414539;0.0229906
0.0377;319.274;0.00414309;0.0229907
0.0378;319.152;0.00414079;0.0229908
0.0379;319.03;0.0041385;0.0229909
0.038;318.91;0.0041362;0.0229909
0.0381;318.79;0.0041339;0.022991
0.0382;318.671;0.0041316;0.0229911
0.0383;318.552;0.0041293;0.0229912
0.0384;318.435;0.004127;0.0229912
0.0385;318.318;0.0041247;0.0229913
0.0386;318.202;0.0041224;0.0229913
0.0387;318.086;0.0041201;0.0229914
0.0388;317.972;0.0041178;0.0229915
0.0389;317.858;0.0041155;0.0229915
0.039;317.745;0.0041132;0.0229916
0.0391;317.632;0.00411091;0.0229916
0.0392;317.521;0.00410861;0.0229917
0.0393;317.409;0.00410631;0.0229918
0.0394;317.299;0.00410401;0.0229918
0.0395;317.19;0.00410171;0.0229919
0.0396;317.081;0.00409941;0.0229919
0.0397;316.972;0.00409711;0.022992
0.0398;316.865;0.00409481;0.022992
0.0399;316.758;0.00409251;0.0229921
0.04;316.652;0.00409021;0.0229921
0.0401;316.546;0.00408791;0.0229922
0.0402;316.441;0.00408561;0.0229922
0.0403;316.337;0.00408331;0.0229922
0.0404;316.234;0.00408102;0.0229923
0.0405;316.131;0.00407872;0.0229923
0.0406;316.028;0.00407642;0.0229924
0.0407;315.927;0.00407412;0.0229924
0.0408;315.826;0.00407182;0.0229925
0.0409;315.726;0.00406952;0.0229925
0.041;315.626;0.00406722;0.0229925
0.0411;315.527;0.00406492;0.0229926
0.0412;315.429;0.00406262;0.0229926
0.0413;315.331;0.00406032;0.0229926
0.0414;315.234;0.00405802;0.0229927
0.0415;315.137;0.00405572;0.0229927
0.0416;315.041;0.00405342;0.0229927
0.0417;314.946;0.00405113;0.0229928
0.0418;314.851;0.00404883;0.0229928
0.0419;314.757;0.00404653;0.0229928
0.042;314.664;0.00404423;0.0229929
0.0421;314.571;0.00404193;0.0229929
0.0422;314.478;0.00403963;0.0229929
0.0423;314.387;0.00403733;0.022993
0.0424;314.295;0.00403503;0.022993
0.0425;314.205;0.00403273;0.022993
0.0426;314.115;0.00403043;0.0229931
0.0427;314.025;0.00402813;0.0229931
0.0428;313.936;0.00402583;0.0229931
0.0429;313.848;0.00402353;0.0229931
0.043;313.76;0.00402124;0.0229932
0.0431;313.673;0.00401894;0.0229932
0.0432;313.587;0.00401664;0.0229932
0.0433;313.5;0.00401434;0.0229932
0.0434;313.415;0.00401204;0.0229933
0.0435;313.33;0.00400974;0.0229933
0.0436;313.245;0.00400744;0.0229933
0.0437;313.162;0.00400514;0.0229933
0.0438;313.078;0.00400284;0.0229933
0.0439;312.995;0.00400054;0.0229934
0.044;312.913;0.00399824;0.0229933
0.0441;312.831;0.00399594;0.0229441
0.0442;312.75;0.00399365;0.0229538
0.0443;312.669;0.00399135;0.022989
0.0444;312.589;0.00398905;0.0229885
0.0445;312.509;0.00398675;0.0229885
0.0446;312.43;0.00398446;0.0229887
0.0447;312.351;0.00398216;0.022989
0.0448;312.273;0.00397986;0.0229893
0.0449;312.195;0.00397756;0.0229895
0.045;312.118;0.00397526;0.0229897
0.0451;312.041;0.00397296;0.0229898
0.0452;311.965;0.00397066;0.02299
0.0453;311.889;0.00396836;0.0229901
0.0454;311.814;0.00396606;0.0229903
0.0455;311.739;0.00396376;0.0229904
0.0456;311.665;0.00396147;0.0229905
0.0457;311.591;0.00395917;0.0229906
0.0458;311.517;0.00395687;0.0229907
0.0459;311.444;0.00395457;0.0229908
0.046;311.372;0.00395227;0.0229909
0.0461;311.3;0.00394997;0.022991
0.0462;311.228;0.00394767;0.0229911
0.0463;311.157;0.00394537;0.0229912
0.0464;311.086;0.00394307;0.0229913
0.0465;311.016;0.00394077;0.0229913
0.0466;310.946;0.00393848;0.0229914
0.0467;310.877;0.00393618;0.0229915
0.0468;310.808;0.00393388;0.0229915
0.0469;310.74;0.00393158;0.0229916
0.047;310.672;0.00392928;0.0229916
0.0471;310.604;0.00392698;0.0229917
0.0472;310.537;0.00392468;0.0229917
0.0473;310.47;0.00392238;0.0229918
0.0474;310.404;0.00392008;0.0229918
0.0475;310.338;0.00391778;0.0229919
0.0476;310.273;0.00391548;0.0229919
0.0477;310.208;0.00391318;0.0229919
0.0478;310.143;0.00391088;0.022992
0.0479;310.079;0.00390859;0.022992
0.048;310.015;0.00390629;0.022992
0.0481;309.951;0.00390399;0.0229921
0.0482;309.888;0.00390169;0.0229921
0.0483;309.826;0.00389939;0.0229921
0.0484;309.763;0.00389709;0.0229922
0.0485;309.702;0.00389479;0.0229922
0.0486;309.64;0.00389249;0.0229922
0.0487;309.579;0.00389019;0.0229922
0.0488;309.519;0.00388789;0.0229923
0.0489;309.458;0.00388559;0.0229923
0.049;309.398;0.00388329;0.0229923
0.0491;309.339;0.00388099;0.0229923
0.0492;309.28;0.0038787;0.0229923
0.0493;309.221;0.0038764;0.0229924
0.0494;309.163;0.0038741;0.0229924
0.0495;309.105;0.0038718;0.0229924
0.0496;309.047;0.0038695;0.0229924
0.0497;308.99;0.0038672;0.0229924
0.0498;308.933;0.0038649;0.0229925
0.0499;308.876;0.0038626;0.0229925
0.05;308.82;0.0038603;0.0229925
0.0501;308.764;0.003858;0.0229925
0.0502;308.709;0.0038557;0.0229925
0.0503;308.653;0.0038534;0.0229925
0.0504;308.599;0.00385111;0.0229925
0.0505;308.544;0.00384881;0.0229926
0.0506;308.49;0.00384651;0.0229926
0.0507;308.436;0.00384421;0.0229926
0.0508;308.383;0.00384191;0.0229926
0.0509;308.33;0.00383961;0.0229926
0.051;308.277;0.00383731;0.0229926
0.0511;308.225;0.00383501;0.0229926
0.0512;308.173;0.00383271;0.0229926
0.0513;308.121;0.00383041;0.0229927
0.0514;308.069;0.00382811;0.0229927
0.0515;308.018;0.00382581;0.0229927
0.0516;307.968;0.00382351;0.0229927
