X, Y, Z, Temperature
time (s) = 0.0
 0.00000e+00, 2.35000e-01, 2.16840e-19, 3.00000e+02
 0.00000e+00, 2.45000e-01, 2.16840e-19, 3.00000e+02
time (s) = 0.03
 0.00000e+00,-2.45000e-01, 2.16840e-19, 3.69172e+02
 0.00000e+00,-2.35000e-01, 2.16840e-19, 3.55961e+02
 0.00000e+00,-2.25000e-01, 2.16840e-19, 3.43618e+02
 0.00000e+00,-2.15000e-01, 2.16840e-19, 3.31922e+02
 0.00000e+00,-2.05000e-01, 2.16840e-19, 3.21016e+02
 0.00000e+00,-1.95000e-01, 2.16840e-19, 3.12158e+02
 0.00000e+00,-1.85000e-01, 2.16840e-19, 3.06179e+02
 0.00000e+00,-1.75000e-01, 2.16840e-19, 3.02533e+02
 0.00000e+00,-1.65000e-01, 2.16840e-19, 3.00815e+02
 0.00000e+00,-1.55000e-01, 2.16840e-19, 3.00188e+02
 0.00000e+00,-1.45000e-01, 2.16840e-19, 3.00020e+02
