Time , meanZ
5.05845e+000 , 2.47149e-001
5.07845e+000 , 2.44804e-001
5.09844e+000 , 2.42179e-001
5.11844e+000 , 2.39128e-001
5.13843e+000 , 2.35999e-001
5.15842e+000 , 2.32303e-001
5.17842e+000 , 2.28139e-001
5.19841e+000 , 2.23440e-001
5.21840e+000 , 2.18222e-001
5.23840e+000 , 2.12719e-001
5.25839e+000 , 2.07410e-001
5.27839e+000 , 2.03013e-001
5.29838e+000 , 2.00089e-001
5.31837e+000 , 1.98802e-001
5.33837e+000 , 1.99901e-001
5.35836e+000 , 2.03508e-001
5.37836e+000 , 2.08737e-001
5.39835e+000 , 2.15235e-001
5.41834e+000 , 2.22695e-001
5.43834e+000 , 2.31163e-001
5.45833e+000 , 2.40734e-001
5.47833e+000 , 2.51172e-001
5.49832e+000 , 2.61224e-001
5.51831e+000 , 2.70739e-001
5.53831e+000 , 2.79497e-001
5.55830e+000 , 2.87177e-001
5.57829e+000 , 2.94088e-001
5.59829e+000 , 2.99691e-001
5.61828e+000 , 3.03890e-001
5.63828e+000 , 3.06710e-001
5.65827e+000 , 3.08338e-001
5.67826e+000 , 3.08848e-001
5.69826e+000 , 3.07752e-001
5.71825e+000 , 3.05211e-001
5.73825e+000 , 3.01282e-001
5.75824e+000 , 2.96187e-001
5.77823e+000 , 2.89883e-001
5.79823e+000 , 2.82054e-001
5.81822e+000 , 2.72719e-001
5.83822e+000 , 2.62447e-001
5.85821e+000 , 2.52174e-001
5.87820e+000 , 2.42808e-001
5.89820e+000 , 2.35036e-001
5.91819e+000 , 2.29339e-001
5.93818e+000 , 2.25767e-001
5.95818e+000 , 2.24412e-001
5.97817e+000 , 2.25172e-001
5.99817e+000 , 2.27341e-001
6.01816e+000 , 2.30003e-001
6.03815e+000 , 2.32790e-001
6.05815e+000 , 2.35392e-001
6.07814e+000 , 2.37710e-001
6.09814e+000 , 2.39211e-001
6.11813e+000 , 2.39749e-001
6.13812e+000 , 2.39617e-001
6.15812e+000 , 2.39474e-001
6.17811e+000 , 2.39188e-001
6.19811e+000 , 2.40182e-001
6.21810e+000 , 2.43301e-001
6.23809e+000 , 2.48000e-001
6.25809e+000 , 2.53472e-001
6.27808e+000 , 2.58685e-001
6.29807e+000 , 2.63190e-001
6.31807e+000 , 2.67043e-001
6.33806e+000 , 2.70233e-001
6.35806e+000 , 2.72557e-001
6.37805e+000 , 2.73607e-001
6.39804e+000 , 2.73448e-001
6.41804e+000 , 2.71842e-001
6.43803e+000 , 2.68665e-001
6.45803e+000 , 2.64514e-001
6.47802e+000 , 2.59627e-001
6.49801e+000 , 2.53964e-001
6.51801e+000 , 2.47454e-001
6.53800e+000 , 2.40247e-001
6.55800e+000 , 2.32355e-001
6.57799e+000 , 2.23944e-001
6.59798e+000 , 2.15271e-001
6.61798e+000 , 2.07316e-001
6.63797e+000 , 2.02401e-001
6.65796e+000 , 2.02317e-001
6.67796e+000 , 2.06284e-001
6.69795e+000 , 2.14073e-001
6.71795e+000 , 2.24251e-001
6.73794e+000 , 2.35130e-001
6.75793e+000 , 2.45904e-001
6.77793e+000 , 2.56306e-001
6.79792e+000 , 2.65808e-001
6.81792e+000 , 2.74079e-001
6.83791e+000 , 2.80841e-001
6.85790e+000 , 2.86135e-001
6.87790e+000 , 2.90005e-001
6.89789e+000 , 2.92542e-001
6.91789e+000 , 2.93718e-001
6.93788e+000 , 2.93934e-001
6.95787e+000 , 2.93127e-001
6.97787e+000 , 2.91187e-001
6.99786e+000 , 2.87697e-001
7.01785e+000 , 2.82537e-001
7.03785e+000 , 2.76420e-001
7.05784e+000 , 2.70169e-001
7.07784e+000 , 2.65147e-001
7.09783e+000 , 2.61136e-001
7.11782e+000 , 2.59047e-001
7.13782e+000 , 2.57780e-001
7.15781e+000 , 2.56092e-001
7.17781e+000 , 2.53577e-001
7.19780e+000 , 2.50090e-001
7.21779e+000 , 2.46217e-001
7.23779e+000 , 2.42731e-001
7.25778e+000 , 2.40271e-001
7.27778e+000 , 2.39888e-001
7.29777e+000 , 2.42836e-001
7.31776e+000 , 2.48522e-001
7.33776e+000 , 2.54972e-001
7.35775e+000 , 2.60571e-001
7.37774e+000 , 2.64635e-001
7.39774e+000 , 2.67406e-001
7.41773e+000 , 2.68911e-001
7.43773e+000 , 2.69092e-001
7.45772e+000 , 2.68881e-001
7.47771e+000 , 2.67315e-001
7.49771e+000 , 2.64863e-001
7.51770e+000 , 2.62550e-001
7.53770e+000 , 2.60744e-001
7.55769e+000 , 2.58452e-001
7.57768e+000 , 2.55470e-001
7.59768e+000 , 2.51603e-001
7.61767e+000 , 2.46795e-001
7.63767e+000 , 2.40988e-001
7.65766e+000 , 2.34172e-001
7.67765e+000 , 2.26679e-001
7.69765e+000 , 2.19204e-001
7.71764e+000 , 2.13542e-001
7.73763e+000 , 2.11076e-001
7.75763e+000 , 2.12011e-001
7.77762e+000 , 2.16530e-001
7.79762e+000 , 2.24033e-001
7.81761e+000 , 2.33078e-001
7.83760e+000 , 2.42488e-001
7.85760e+000 , 2.50999e-001
7.87759e+000 , 2.58603e-001
7.89759e+000 , 2.65060e-001
7.91758e+000 , 2.70067e-001
7.93757e+000 , 2.73584e-001
7.95757e+000 , 2.75690e-001
7.97756e+000 , 2.76496e-001
7.99756e+000 , 2.75916e-001
8.01755e+000 , 2.74331e-001
8.03754e+000 , 2.72329e-001
8.05754e+000 , 2.70722e-001
8.07753e+000 , 2.70136e-001
8.09752e+000 , 2.71106e-001
8.11752e+000 , 2.73165e-001
8.13751e+000 , 2.75671e-001
8.15751e+000 , 2.78075e-001
8.17750e+000 , 2.79774e-001
8.19749e+000 , 2.79863e-001
8.21749e+000 , 2.77760e-001
8.23748e+000 , 2.73368e-001
8.25748e+000 , 2.66844e-001
8.27747e+000 , 2.58530e-001
8.29746e+000 , 2.48743e-001
8.31746e+000 , 2.38706e-001
8.33745e+000 , 2.29921e-001
8.35745e+000 , 2.23985e-001
8.37744e+000 , 2.20856e-001
8.39743e+000 , 2.20785e-001
8.41743e+000 , 2.23205e-001
8.43742e+000 , 2.26597e-001
8.45741e+000 , 2.30399e-001
8.47741e+000 , 2.34287e-001
8.49740e+000 , 2.38245e-001
8.51740e+000 , 2.42053e-001
8.53739e+000 , 2.44931e-001
8.55738e+000 , 2.46791e-001
8.57738e+000 , 2.47327e-001
8.59737e+000 , 2.46666e-001
8.61737e+000 , 2.45284e-001
8.63736e+000 , 2.44006e-001
8.65735e+000 , 2.42801e-001
8.67735e+000 , 2.41708e-001
8.69734e+000 , 2.40177e-001
8.71734e+000 , 2.37576e-001
8.73733e+000 , 2.34112e-001
8.75732e+000 , 2.31170e-001
8.77732e+000 , 2.29527e-001
8.79731e+000 , 2.29367e-001
8.81730e+000 , 2.32028e-001
8.83730e+000 , 2.37942e-001
8.85729e+000 , 2.44984e-001
8.87729e+000 , 2.51412e-001
8.89728e+000 , 2.56313e-001
8.91727e+000 , 2.59299e-001
8.93727e+000 , 2.60272e-001
8.95726e+000 , 2.59606e-001
8.97726e+000 , 2.57535e-001
8.99725e+000 , 2.55066e-001
9.01724e+000 , 2.53516e-001
9.03724e+000 , 2.52894e-001
9.05723e+000 , 2.53637e-001
9.07723e+000 , 2.55017e-001
9.09722e+000 , 2.55886e-001
9.11721e+000 , 2.56044e-001
9.13721e+000 , 2.54993e-001
9.15720e+000 , 2.52310e-001
9.17719e+000 , 2.48159e-001
9.19719e+000 , 2.42437e-001
9.21718e+000 , 2.34973e-001
9.23718e+000 , 2.26214e-001
9.25717e+000 , 2.17512e-001
9.27716e+000 , 2.11504e-001
9.29716e+000 , 2.10124e-001
9.31715e+000 , 2.12869e-001
9.33715e+000 , 2.18331e-001
9.35714e+000 , 2.25382e-001
9.37713e+000 , 2.33157e-001
9.39713e+000 , 2.41687e-001
9.41712e+000 , 2.50229e-001
