Date [s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
4.7;-0.239663;-0.0401247;0.0283799;-0.208077;-0.260548
4.72;-0.401788;-0.173781;-0.044182;-0.308709;-0.426382
4.74;-0.550139;-0.268956;-0.0919132;-0.427301;-0.578274
4.76;-0.69344;-0.377407;-0.0942662;-0.555201;-0.635459
4.78;-0.843192;-0.436661;0.0076496;-0.620292;-0.716484
4.8;-0.925529;-0.449665;0.185573;-0.612688;-0.694897
4.82;-0.688986;-0.291711;0.37525;-0.466697;-0.500925
4.84;-0.159396;0.296551;0.545443;-0.138179;-0.170198
4.86;0.261187;0.752028;0.732918;0.237135;0.185856
4.88;0.394069;0.900857;0.912114;0.669783;0.545518
4.9;0.313305;0.808395;1.00308;0.941299;0.791952
4.92;0.30094;0.64806;0.739713;0.796759;0.5978
4.94;0.230582;0.424325;0.374869;0.406881;0.344254
4.96;0.0970336;0.237071;0.166891;0.191963;0.145005
4.98;-0.0615249;0.0738097;-0.000916172;0.0318825;-0.0370297
5;-0.219467;-0.042081;-0.134937;-0.100221;-0.202601
5.02;-0.366743;-0.14122;-0.217999;-0.233584;-0.34757
5.04;-0.513363;-0.260913;-0.306987;-0.343037;-0.47711
5.06;-0.665367;-0.341757;-0.390501;-0.423035;-0.615336
5.08;-0.812945;-0.457956;-0.451555;-0.521558;-0.740965
5.1;-0.947083;-0.527708;-0.516269;-0.607822;-0.857106
5.12;-1.07573;-0.612244;-0.557498;-0.677648;-0.975044
5.14;-1.09145;-0.735571;-0.578308;-0.699439;-1.07873
5.16;-1.02369;-0.898716;-0.564684;-0.723973;-1.18196
5.18;-0.956499;-0.990576;-0.599887;-0.746379;-0.874098
5.2;-0.846748;-0.796602;0.0345815;-0.400197;-0.460665
5.22;-0.54659;-0.557701;0.383082;0.324714;0.0510697
5.24;-0.302473;-0.256841;0.475907;0.635866;0.494553
5.26;-0.036124;0.0716647;0.720198;0.993328;0.665676
5.28;0.0908979;0.363077;0.854206;1.0966;0.619186
5.3;0.163499;0.557471;0.895887;0.818209;0.468888
5.32;0.153802;0.549519;0.774618;0.539765;0.321304
5.34;0.0838635;0.428957;0.507907;0.30707;0.133423
5.36;-0.0431633;0.265153;0.260608;0.14038;-0.031821
5.38;-0.220173;0.0803977;0.0974521;0.0403331;-0.166725
5.4;-0.430267;-0.100196;0.00584124;-0.0201291;-0.273235
5.42;-0.688412;-0.303647;-0.106007;-0.105638;-0.405488
5.44;-0.955227;-0.483883;-0.119053;-0.180329;-0.561953
5.46;-1.14418;-0.616476;-0.104213;-0.345731;-0.715185
5.48;-0.817215;-0.655649;-0.0617402;-0.590561;-0.783891
5.5;-0.677255;-0.560633;-0.0770613;-0.716878;-0.907658
5.52;-0.561336;-0.2698;0.515465;-0.494436;-0.828655
5.54;0.004547;0.311256;0.985687;-0.085933;-0.357837
5.56;0.54262;0.800724;0.817882;0.216434;-0.116605
5.58;0.576581;0.915228;0.730486;0.347085;0.00160978
5.6;0.220719;0.707231;0.625476;0.414212;0.0666732
5.62;-0.0335169;0.401924;0.515745;0.471779;0.0964083
