Date [s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
4.2,-0.0807208,0.105173,0.615017,0.401866,-0.124458
4.22,-0.00612926,0.145567,0.548925,0.339371,-0.105762
4.24,0.0337036,0.179908,0.51072,0.289954,-0.0985165
4.26,0.0512509,0.183998,0.406272,0.149921,-0.120776
4.28,0.0274964,0.163649,0.218819,-0.0110896,-0.181107
4.3,-0.0225155,0.0991218,0.0641352,-0.115377,-0.251176
4.32,-0.0772189,0.0455648,0.0721747,-0.128748,-0.313542
4.34,-0.0971768,0.172199,0.154337,-0.0153845,-0.351501
4.36,-0.00762604,0.371724,0.285276,0.160893,-0.333561
4.38,0.0239194,0.403087,0.464583,0.326304,-0.242303
4.4,0.0342563,0.449767,0.617232,0.388611,-0.156768
4.42,0.0303826,0.491511,0.660354,0.344818,-0.135954
4.44,-0.0190019,0.356238,0.283064,0.231382,-0.143003
4.46,-0.0899702,0.163608,0.0854734,0.0872417,-0.186215
4.48,-0.206935,-0.00169484,0.00100056,0.00447339,-0.252135
4.5,-0.297342,-0.04506,0.20171,-0.0275036,-0.331311
4.52,-0.29614,0.293085,0.35996,-0.0635428,-0.413676
4.54,-0.274854,0.406163,0.453097,-0.0988139,-0.494366
4.56,-0.266646,0.427248,0.578042,-0.0935443,-0.54597
4.58,-0.224924,0.515488,0.777101,0.00908943,-0.513934
4.6,-0.174614,0.597406,0.88932,0.142335,-0.434236
4.62,-0.117329,0.53001,0.733506,0.174133,-0.330418
4.64,-0.12209,0.352561,0.517241,0.14766,-0.308261
4.66,-0.123724,0.392269,0.607436,0.152006,-0.313639
4.68,-0.140452,0.514871,0.699716,0.144494,-0.343951
4.7,-0.0918484,0.539966,0.671036,0.109854,-0.395298
4.72,-0.0466477,0.509417,0.672813,0.0789167,-0.431042
4.74,-0.00157835,0.529025,0.715358,0.0900915,-0.46966
4.76,-0.00127979,0.520897,0.660641,0.105313,-0.482763
4.78,-0.0232819,0.45763,0.576827,0.0861033,-0.486972
4.8,-0.0797217,0.410225,0.497086,0.0715501,-0.456768
4.82,-0.157118,0.315333,0.421613,0.054303,-0.421771
4.84,-0.217966,0.253381,0.437248,0.0364127,-0.400868
4.86,-0.256393,0.266508,0.451456,0.0389941,-0.315952
4.88,-0.168256,0.330125,0.519549,0.0979463,-0.21903
4.9,-0.0504609,0.360036,0.549814,0.224286,-0.145548
4.92,-0.0223951,0.387686,0.5594,0.354375,-0.0786503
4.94,-0.0510198,0.352129,0.556298,0.43857,0.00334986
4.96,-0.0515826,0.327701,0.512087,0.480024,0.0416481
4.98,-0.0731849,0.259004,0.360507,0.394461,0.0391544
5,-0.116686,0.15762,0.138927,0.229503,-0.0244108
5.02,-0.161092,0.0762249,0.000150982,0.127732,-0.134672
5.04,-0.222335,0.0214058,-0.0682121,0.0463194,-0.254416
