date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0.96,0.00121503,0.00153892,0.00185613,0.000573749,-0.000236256
0.97,0.00215029,0.00241812,0.00135145,0.000663963,-0.000777602
0.98,0.00182421,0.00270305,0.00234409,0.000790863,-0.00128498
0.99,0.00151693,0.0025547,0.00338273,0.0012144,-0.0014898
1,0.0011092,0.00315431,0.00166608,0.000481669,-0.000761412
1.01,0.00136836,0.00443727,0.00236049,0.00123267,-4.82576e-05
1.02,0.00192297,0.00336499,0.00375971,0.00181694,-0.000108066
1.03,0.00255842,0.00288753,0.00322684,0.00129535,-5.80348e-05
1.04,0.00305417,0.00259281,0.00387388,0.00178302,0.00014316
1.05,0.00199228,0.00224298,0.00457168,0.00190301,7.1147e-05
1.06,0.00159137,0.00248238,0.00566296,0.00307217,0.00120557
1.07,-0.000175547,0.00169801,0.0050911,0.0041843,0.00402558
1.08,-0.00187666,0.00121953,0.00562604,0.00562251,0.00573357
1.09,-0.00287004,0.00092086,0.00604482,0.00700595,0.00752148
1.1,-0.00399301,-0.000372503,0.00574521,0.00799163,0.00929548
1.11,-0.00533931,-0.00125221,0.00536378,0.00936026,0.0100881
1.12,-0.0061567,-0.00224023,0.00530038,0.0102619,0.0114941
1.13,-0.00697672,-0.0023487,0.00541345,0.0112519,0.013229
1.14,-0.00778357,-0.00210665,0.00519794,0.0119328,0.0139177
1.15,-0.00682249,-0.00169673,0.00534806,0.0121909,0.0146497
1.16,-0.00303916,0.00155188,0.0101263,0.0138502,0.0106608
1.17,0.00220938,-0.00133105,0.00527771,0.0120135,0.00597828
1.18,0.00474997,0.00100975,0.00675594,0.0133376,0.00181804
1.19,-0.00107754,-0.00163636,0.000473716,0.00771237,0.00722292
1.2,-0.00131348,-0.00256709,0.00357378,0.00824755,0.00773938
1.21,0.00240373,0.00722894,0.00295056,0.00633114,0.00399568
1.22,-0.00303173,0.004086,0.00582056,0.00573643,0.0055584
1.23,0.00314246,-0.001311,0.00422395,0.00428095,0.00318311
1.24,0.00367455,-0.0029896,0.00291836,0.00299103,0.00386586
1.25,0.00130935,0.00209108,0.00856727,0.00590258,0.00444647
1.26,0.000503118,-0.00138473,0.00439854,0.00139131,0.00248772
1.27,-0.000809594,0.00221438,0.00382579,-0.00230328,0.000812226
1.28,-0.000915549,0.00402006,0.00463535,-0.00102689,-0.00264103
1.29,0.00278505,0.00318738,0.00237738,0.000664681,-0.00253076
1.3,0.00340222,0.00457904,0.00340831,0.0038616,-0.000900915
1.31,0.00558079,0.00557795,0.00500187,0.000979738,-0.00424027
1.32,0.00656151,0.00598087,0.00657614,0.0043767,-0.00461302
1.33,0.00623174,0.00560157,0.00994788,0.00171331,-0.00562831
1.34,0.00809323,0.00334723,0.00854841,0.00575971,-0.00306634
1.35,0.00679936,0.00428767,0.00744518,0.00438119,-0.0043131
1.36,0.00418452,0.00269764,0.0074265,0.00715379,-0.00267489
1.37,0.00346743,-0.000433195,0.00842216,0.0123908,-0.00107458
1.38,-8.90787e-06,-0.00799875,0.00844602,0.0192085,0.00308839
1.39,-0.00383593,-0.0122386,0.00852677,0.0250622,0.00624232
1.4,-0.00743855,-0.016387,0.00817527,0.0321432,0.0102866
1.41,-0.00962305,-0.0187244,0.00718824,0.0375567,0.0124908
1.42,-0.0118351,-0.021036,0.00805556,0.0410157,0.0144321
1.43,-0.014801,-0.027275,0.00759748,0.0456302,0.0171246
1.44,-0.0152435,-0.0269961,0.00800852,0.0462671,0.0181283
1.45,-0.0117012,-0.0251837,0.00852893,0.0445699,0.0142575
1.46,-0.00884221,-0.01176,0.0174598,0.0364588,0.017341
1.47,-0.00322666,-0.00746652,-0.0106573,0.033301,0.00920142
1.48,-0.00940083,-0.0116819,-0.00918905,0.0318653,0.0114716
1.49,-0.0181958,-0.00619976,0.00620369,0.0190235,0.012102
1.5,-0.00904301,-0.00912854,-0.00181172,0.0228035,0.0167178
1.51,-0.00382148,-0.0155467,-1.68876e-05,0.014145,0.0145188
1.52,-0.000469633,-0.0110263,-0.00177892,0.00331818,0.00390507
1.53,-0.0056122,-0.00944893,0.00337193,0.0129043,0.0049033
1.54,-0.00253814,-0.0118367,0.00300764,0.0136692,0.00437912
1.55,-0.00272996,-0.0164253,0.000959143,0.0251863,0.0110482
1.56,0.0049067,-0.0164125,0.00672152,0.0304597,-0.00352261
1.57,-0.000514262,-0.0256,-0.00271937,0.0330995,0.00685601
1.58,-0.00159857,-0.0325637,-0.00733297,0.0430067,0.0057276
1.59,-0.00301561,-0.0311377,-0.00612668,0.0438789,0.00278742
1.6,0.00307379,-0.0333849,-0.00712011,0.0487396,0.00407893
1.61,0.00528009,-0.0306248,-0.00781011,0.0524985,0.00274427
1.62,0.0123263,-0.0326329,-0.00777475,0.0554963,0.00302596
1.63,0.0168943,-0.028639,-0.00801788,0.0555856,0.000715629
1.64,0.0244442,-0.0233631,-0.0068016,0.0541624,-0.00420638
1.65,0.0322039,-0.0135525,-0.00254287,0.0439833,-0.0163021
1.66,0.039257,0.000829442,-0.00231668,0.0323016,-0.0226149
1.67,0.054588,0.0136485,-0.00118187,0.0243687,-0.0340077
1.68,0.0727605,0.0378161,-0.0112396,0.0095135,-0.047725
1.69,0.0843314,0.0824087,-0.0142656,-0.0159413,-0.0658585
1.7,0.0879806,0.145781,-0.0080817,-0.0745513,-0.0772786
