Date [s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
3.22;0.283166;0.328617;-0.130477;-0.546709;-0.219118
3.24;0.260077;0.347873;0.289453;-0.435654;-0.253424
3.26;0.207344;0.172035;0.53315;-0.213287;-0.276913
3.28;0.160764;0.0972127;0.604196;-0.352592;-0.233137
3.3;0.0949791;0.0954725;0.0178747;-0.481471;-0.179106
3.32;0.0201773;0.166258;-0.403125;-0.428466;-0.138169
3.34;0.0145351;0.140864;-0.459825;-0.355245;-0.130033
3.36;-0.00597243;0.163581;-0.249757;-0.301659;-0.0764063
3.38;-0.0413774;0.178267;-0.0536793;-0.262587;-0.00474458
3.4;-0.0464961;0.19798;0.0957307;-0.252242;0.0245325
3.42;-0.0749669;0.24796;0.0642752;-0.280961;-0.00349004
3.44;-0.0709999;0.306048;0.187704;-0.185132;-0.00199732
3.46;-0.0359981;0.326716;0.0992127;-0.16895;-0.0367271
3.48;-0.00847501;0.225991;-0.15973;0.0370532;-0.0532354
3.5;0.0187622;0.11826;-0.425318;-0.00921697;-0.0173081
3.52;0.0516153;0.00939324;-0.574784;-0.244151;-0.0133883
3.54;0.0383714;0.0387714;-0.613342;-0.274074;-0.0536367
3.56;0.0201202;0.108152;-0.525977;-0.218946;-0.0949604
3.58;-0.00148158;0.19198;-0.116858;-0.217065;-0.134735
3.6;-0.0217961;0.158688;0.120584;-0.13431;-0.15774
3.62;0.0111402;0.102364;0.0951389;0.0653621;-0.148056
3.64;0.0267612;0.135322;-0.0460143;0.0781304;-0.146771
3.66;0.0510132;0.221267;-0.170355;-0.192536;-0.180839
3.68;0.0831467;0.275064;-0.278214;-0.23276;-0.17419
3.7;0.0658534;0.194488;-0.432808;-0.272391;-0.112243
3.72;0.0290262;0.0732634;-0.537147;-0.258531;-0.0527232
3.74;0.0213255;0.0276139;-0.635219;-0.19884;-0.0421547
3.76;0.0689222;0.122135;-0.487327;-0.216392;-0.0711372
3.78;0.163182;-0.0677627;-0.442771;-0.31037;-0.0920045
3.8;0.202323;-0.222121;-0.58707;-0.114838;-0.0658061
3.82;0.116831;-0.146176;-0.736925;-0.210246;-0.0267535
3.84;0.0298533;-0.0377868;-0.254365;-0.469077;-0.130543
3.86;-0.0511471;0.0810123;0.112127;-0.597912;-0.189276
3.88;-0.0713224;0.0138855;0.37541;-0.17876;-0.203749
3.9;-0.0346347;-0.0390962;0.590255;0.0178623;-0.204242
3.92;0.015062;0.457957;0.435306;-0.0991293;-0.136517
3.94;0.0108782;0.326927;-0.029188;-0.263143;-0.114473
3.96;-0.00727605;0.165218;-0.354044;-0.327096;-0.0727786
3.98;-0.0102688;0.0514894;-0.473825;-0.44815;-0.0218489
4;-0.0242258;-0.0623964;-0.549973;-0.493476;0.00742199
4.02;-0.0209466;-0.213886;-0.600844;-0.500983;0.017674
4.04;-0.0170299;-0.234416;-0.602016;-0.387155;0.0125151
4.06;-0.01272;-0.156668;-0.407503;-0.338104;0.000781993
4.08;-6.73124e-05;-0.0715965;-0.0490171;-0.340395;-0.0150736
4.1;-0.0435092;-0.0579659;0.152801;-0.155261;-0.0382298
4.12;-0.112091;-0.0336041;0.300528;0.0578027;-0.0530749
4.14;-0.155392;-0.0402788;0.396243;0.132368;-0.0458751
4.16;-0.111089;0.0540839;0.663272;0.225861;-0.0482739
4.18;0.0190805;0.246807;0.820017;0.44182;-0.0561371
4.2;0.0987941;0.343708;0.827651;0.514829;-0.0675181
4.22;0.133472;0.333509;0.857359;0.429059;-0.0131022
4.24;0.159072;0.305139;0.928407;0.313559;-0.00588948
4.26;0.1997;0.26281;0.874544;0.0864586;-0.039012
4.28;0.15003;0.232558;0.190832;-0.161004;-0.0730137
