date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0.86,-0.00630072,-0.0124692,0.00446637,0.0126505,0.00238653
0.87,-0.00643159,-0.0171777,0.00409165,0.0167855,0.00122949
0.88,-0.00875683,-0.0188446,0.00578831,0.0242204,0.00395144
0.89,-0.0121839,-0.0252518,0.00540681,0.0325453,0.0103616
0.9,-0.0180765,-0.0289202,0.00514125,0.0371338,0.0175299
0.91,-0.0225043,-0.0284906,0.0054816,0.0385427,0.0236791
0.92,-0.0237562,-0.0298869,0.00583155,0.0372073,0.0272002
0.93,-0.0250511,-0.0305121,0.00610268,0.0376769,0.0273988
0.94,-0.0244139,-0.0299383,0.00632867,0.0365718,0.0283381
0.95,-0.0227288,-0.0289624,0.00597341,0.0343706,0.0300285
0.96,-0.0217386,-0.0273285,0.00638337,0.0339357,0.0280251
0.97,-0.0224068,-0.029101,0.00915612,0.0324079,0.0269896
0.98,-0.0230109,-0.0277744,0.00926958,0.0346697,0.0274151
0.99,-0.021178,-0.0274577,0.00940442,0.0324597,0.0233776
1,-0.0210613,-0.0289828,0.0078838,0.0312907,0.0211028
1.01,-0.0211085,-0.0285792,0.0100655,0.0275854,0.0185762
1.02,-0.0241897,-0.0103771,0.0207535,0.0142798,0.0145608
1.03,-0.0239562,0.0164651,0.0167148,0.0214258,0.0277063
1.04,-0.0174393,-0.00562506,-0.00374992,0.0117428,0.0281176
1.05,-0.0391473,-0.0247945,0.00615169,0.00945394,0.0189587
1.06,-0.0307023,-0.0180246,-0.0143584,0.0124492,0.035558
1.07,-0.0149647,-0.0229774,-0.0093858,0.0258896,0.0320818
1.08,-0.0289918,-0.0298217,-0.0140309,0.0497324,0.0297169
1.09,-0.0221365,-0.0499802,-0.0247871,0.0682421,0.0290793
1.1,-0.0290434,-0.0595789,-0.0291963,0.0737079,0.0144586
1.11,-0.0174636,-0.0582899,-0.0272656,0.0890918,0.00125795
1.12,-0.00120529,-0.0512007,-0.0221534,0.0866542,-0.0159802
1.13,0.00651215,-0.0318527,-0.0148482,0.0607437,-0.0273819
1.14,0.0300576,-0.0159897,-0.0103644,0.0358824,-0.0362683
1.15,0.0474436,-0.0198723,-0.00789959,0.0156411,-0.0441748
