date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.13,-0.314713,-0.371959,-0.398534,-0.333573,-0.309356
1.14,-0.367466,-0.404229,-0.437848,-0.393627,-0.357608
1.15,-0.392222,-0.450553,-0.487721,-0.419165,-0.390103
1.16,-0.425462,-0.472271,-0.495448,-0.474144,-0.431575
1.17,-0.4021,-0.326042,-0.194478,-0.320217,-0.402909
1.18,-0.328896,-0.127458,0.0602727,-0.140419,-0.315831
1.19,-0.271468,0.00361078,0.216281,0.018981,-0.259702
1.2,-0.220448,0.141404,0.338802,0.113535,-0.201578
1.21,-0.214024,0.199263,0.402544,0.20992,-0.202066
1.22,-0.143241,0.279641,0.505541,0.272231,-0.12444
1.23,-0.111928,0.323122,0.562731,0.329902,-0.113484
1.24,-0.104845,0.3465,0.633674,0.35441,-0.119513
1.25,-0.115356,0.366761,0.663556,0.384025,-0.104822
1.26,-0.102847,0.355236,0.619359,0.354276,-0.124557
1.27,-0.153596,0.293425,0.475409,0.317631,-0.153539
1.28,-0.1907,0.205611,0.234461,0.212948,-0.194762
1.29,-0.270428,0.105721,0.162858,0.104536,-0.269488
1.3,-0.343761,-0.00315527,0.0142006,0.00640709,-0.345089
1.31,-0.417745,-0.0882777,-0.0652348,-0.0775779,-0.418841
1.32,-0.501459,-0.172387,-0.123396,-0.159018,-0.498172
1.33,-0.559649,-0.247241,-0.175624,-0.234074,-0.564582
1.34,-0.614606,-0.321434,-0.207274,-0.312784,-0.583096
1.35,-0.605853,-0.381911,-0.239063,-0.375379,-0.589742
1.36,-0.568111,-0.409732,-0.272431,-0.373576,-0.575819
1.37,-0.536772,-0.38488,-0.284204,-0.357045,-0.565104
1.38,-0.514476,-0.312892,-0.322918,-0.300588,-0.554641
1.39,-0.474532,-0.161315,0.581318,-0.129947,-0.496321
1.4,-0.455402,0.0717564,0.961756,0.0739637,-0.458855
1.41,-0.382672,0.195943,1.04658,0.25035,-0.420432
1.42,-0.357923,0.303132,1.1011,0.373863,-0.364604
1.43,-0.314954,0.363294,1.1348,0.49854,-0.312967
1.44,-0.275966,0.411308,1.13333,0.585781,-0.259704
1.45,-0.243933,0.402997,1.08239,0.609356,-0.225654
1.46,-0.221631,0.378741,1.04956,0.609623,-0.197344
1.47,-0.214119,0.354855,0.994153,0.617087,-0.158554
1.48,-0.171001,0.273623,0.978451,0.574217,-0.142585
1.49,-0.172065,0.267599,0.948499,0.516253,-0.131835
1.5,-0.16647,0.235418,0.898092,0.491591,-0.125278
1.51,-0.162172,0.205826,0.847389,0.454831,-0.120962
1.52,-0.164838,0.179309,0.786594,0.38041,-0.138179
1.53,-0.162098,0.162749,0.738106,0.348221,-0.141309
1.54,-0.159263,0.138467,0.685003,0.299154,-0.152944
1.55,-0.161869,0.122084,0.686722,0.238302,-0.171571
1.56,-0.16637,0.109751,0.616049,0.219217,-0.19452
1.57,-0.167335,0.118586,0.593775,0.167318,-0.224294
1.58,-0.174072,0.119557,0.569753,0.123166,-0.232287
1.59,-0.182666,0.109128,0.532463,0.133032,-0.244311
1.6,-0.187768,0.114255,0.517912,0.130271,-0.261242
1.61,-0.199899,0.112359,0.562711,0.107563,-0.278468
1.62,-0.169268,0.135199,0.576851,0.114396,-0.287914
1.63,-0.171968,0.169709,0.600522,0.13013,-0.284256
1.64,-0.142662,0.217277,0.576495,0.173071,-0.243677
1.65,-0.122057,0.26728,0.584924,0.232479,-0.185788
1.66,-0.0504286,0.344774,0.64614,0.31504,-0.138648
1.67,-0.00993563,0.44493,0.747249,0.421651,-0.0577167
1.68,0.0398807,0.548267,0.811185,0.504713,-0.000930687
1.69,0.115114,0.625744,0.815767,0.532748,0.0425219
1.7,0.146907,0.658793,0.85408,0.561,0.0994909
1.71,0.179025,0.648675,0.877365,0.553603,0.137973
1.72,0.179157,0.562444,0.818888,0.515985,0.163447
1.73,0.161147,0.455952,0.595394,0.411759,0.156842
1.74,0.134102,0.323213,0.366518,0.293329,0.110509
1.75,0.0934735,0.215876,0.159813,0.18727,0.0612864
1.76,0.0371438,0.123093,0.153182,0.123507,0.0135157
1.77,-0.00257342,0.0751052,0.123373,0.0775374,-0.0208702
1.78,-0.0346425,0.04883,0.126444,0.08556,-0.0544464
1.79,-0.07606,0.0925311,0.457807,0.124438,-0.0776666
1.8,-0.0915929,0.161386,0.581401,0.18794,-0.0919581
1.81,-0.0878394,0.247255,0.630283,0.267768,-0.0915525
1.82,-0.0726336,0.325754,0.671946,0.348404,-0.0859324
1.83,-0.0413374,0.406213,0.707818,0.432643,-0.0664764
1.84,-0.0301378,0.472613,0.716155,0.501379,-0.055256
1.85,-0.0276589,0.511884,0.702168,0.529294,-0.0333337
1.86,-0.0425508,0.550554,0.653639,0.583276,-0.0440206
1.87,-0.0680935,0.595642,0.581974,0.584412,-0.0834726
1.88,-0.112191,0.599435,0.477248,0.503454,-0.13347
1.89,-0.175564,0.460859,0.313001,0.300181,-0.225327
1.9,-0.261653,0.204354,0.174736,0.180273,-0.312149
1.91,-0.352769,0.0594013,0.0596988,-0.0164678,-0.384686
1.92,-0.433048,-0.220726,-0.0412116,-0.115192,-0.468987
1.93,-0.512001,0,-0.109714,-0.0723154,-0.5353
1.94,-0.583528,0,-0.149595,-0.144475,-0.601049
1.95,-0.641174,0,-0.196234,-0.212943,-0.652234
1.96,-0.713964,-0.261266,-0.242907,-0.278132,-0.704532
1.97,-0.771373,-0.331494,-0.285471,-0.350737,-0.769731
1.98,-0.823744,-0.410295,-0.324783,-0.423168,-0.836759
1.99,-0.867045,-0.477572,-0.348257,-0.474571,-0.894183
2,-0.902149,-0.518103,-0.399648,-0.423603,-0.958775
2.01,-0.917782,-0.148532,-0.412037,-0.278456,-1.01323
2.02,-0.934296,0.49216,0.28925,-0.131317,-1.05014
2.03,-0.947912,0.732155,0.80631,-0.0590919,-1.03476
2.04,-0.936804,0.78836,0.938245,0.0481935,-0.982614
2.05,-0.938881,0.860187,1.01382,0.129013,-0.944019
2.06,-0.928062,0.871426,1.01191,0.185989,-0.933546
2.07,-0.913581,0.55077,0.865607,0.218654,-0.89695
2.08,-0.899914,0.173816,0.722295,0.212867,-0.918725
2.09,-0.874146,0.169589,0.698815,0.185315,-0.938204
2.1,-0.831751,0.267581,0.696875,0.146921,-0.951935
2.11,-0.809829,0.347015,0.721396,0.0772429,-0.944745
2.12,-0.802466,0.588794,0.805441,-0.0417113,-0.901758
2.13,-0.742081,0.706786,0.926463,-0.123534,-0.898804
2.14,-0.756873,0.837655,1.03278,-0.135279,-0.865541
2.15,-0.705982,1.00711,1.12574,-0.13295,-0.824146
2.16,-0.601873,1.06873,1.07155,-0.144832,-0.81315
2.17,-0.502316,1.14012,1.07872,-0.247529,-0.76334
2.18,-0.427243,1.216,1.09882,-0.292999,-0.73119
2.19,-0.271683,1.2574,1.03844,-0.341594,-0.7095
2.2,-0.140909,1.2496,0.891033,-0.402436,-0.672848
2.21,-0.161941,1.14027,0.687545,-0.440229,-0.648885
2.22,-0.185361,0.980705,0.581563,-0.476034,-0.628989
2.23,-0.258095,0.911047,0.526833,-0.48412,-0.609514
2.24,-0.314817,0.906664,0.486171,-0.512909,-0.594591
2.25,-0.296116,0.928331,0.566438,-0.50006,-0.565982
2.26,-0.28943,0.9608,0.58772,-0.468327,-0.512396
2.27,-0.273441,0.978381,0.63424,-0.443643,-0.485868
2.28,-0.279215,0.965276,0.66843,-0.375813,-0.461883
2.29,-0.253232,1.00678,0.683192,-0.285121,-0.429132
2.3,-0.186134,1.07554,0.803266,-0.168828,-0.384183
2.31,-0.148305,1.07307,0.8912,-0.0474057,-0.323518
2.32,-0.105324,1.01613,0.907557,0.06118,-0.270491
2.33,-0.139631,0.885935,0.919497,0.175117,-0.22408
2.34,-0.166563,0.793742,0.846121,0.239992,-0.21096
2.35,-0.226305,0.714115,0.741636,0.266888,-0.224589
2.36,-0.29598,0.641838,0.662243,0.276176,-0.251369
2.37,-0.359639,0.601038,0.576097,0.234684,-0.287403
2.38,-0.427562,0.553392,0.529172,0.189431,-0.320407
2.39,-0.484647,0.529261,0.498016,0.138032,-0.376903
2.4,-0.540909,0.498913,0.505064,0.0941959,-0.423848
2.41,-0.596303,0.476476,0.519885,0.0473214,-0.485541
2.42,-0.658984,0.462064,0.514276,0.0362425,-0.559309
2.43,-0.715376,0.436847,0.524202,0.0401037,-0.626026
2.44,-0.793519,0.369288,0.527839,0.0496124,-0.681383
2.45,-0.837863,0.317026,0.521817,0.0930878,-0.725234
2.46,-0.900045,0.229117,0.520263,0.173458,-0.745106
2.47,-0.919253,0.0964939,0.483446,0.238014,-0.744356
2.48,-0.917157,-0.0119815,0.428936,0.297872,-0.69353
2.49,-0.940048,-0.105665,0.284873,0.314751,-0.67812
2.5,-0.964691,-0.167657,0.398775,0.314003,-0.583927
2.51,-0.928733,0.0197548,0.779084,0.348832,-0.440894
2.52,-0.893015,0.344704,1.0655,0.428207,-0.311305
2.53,-0.832953,0.771047,1.25213,0.512912,-0.275341
2.54,-0.678012,1.01499,1.33352,0.570166,-0.190953
2.55,-0.555777,1.09415,1.18634,0.582541,-0.174004
2.56,-0.459641,1.04156,0.91437,0.543404,-0.163087
2.57,-0.377134,0.920154,0.733383,0.494173,-0.172327
2.58,-0.352437,0.824064,0.641715,0.442039,-0.174315
2.59,-0.350775,0.702883,0.622622,0.38834,-0.202114
2.6,-0.414269,0.618985,0.615866,0.332816,-0.245907
2.61,-0.452726,0.557233,0.619967,0.268057,-0.294318
2.62,-0.541286,0.634581,0.653908,0.195626,-0.344899
2.63,-0.534296,0.6604,0.648517,0.123627,-0.415078
2.64,-0.501451,0.632947,0.509456,0.0312194,-0.480118
2.65,-0.460044,0.556423,0.390699,-0.0302025,-0.530112
2.66,-0.494141,0.453471,0.272158,-0.0960348,-0.605815
2.67,-0.498128,0.372895,0.222944,-0.159349,-0.647911
