date [s],Average:Translational X-Velocity (Study 01 - Cube <01>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <02>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <03>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <04>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <05>) [m/s]
0.84,2.38081e-07,6.40131e-07,2.22991e-07,-2.5392e-07,-9.49072e-08
0.85,2.32074e-07,8.2422e-07,1.25843e-07,-5.42611e-08,-1.42714e-07
0.86,2.31319e-07,5.3872e-07,9.85091e-08,-7.35014e-08,-2.1125e-07
0.87,2.07566e-07,5.86846e-07,9.96729e-08,-9.44213e-08,-1.6896e-07
0.88,2.70224e-07,4.21645e-07,1.02835e-07,-6.04972e-08,-1.15178e-07
0.89,1.79135e-07,7.81353e-07,1.17126e-07,-4.39063e-08,5.02717e-09
0.9,1.81107e-07,7.48883e-07,1.31181e-07,-1.023e-07,-9.60765e-08
0.91,1.08804e-07,7.68871e-07,1.49378e-07,-1.61755e-07,-1.22651e-07
0.92,5.4324e-08,6.48926e-07,1.63971e-07,-2.17694e-07,-1.45678e-07
0.93,2.66286e-07,9.19291e-07,-1.21436e-07,-1.30816e-07,7.29553e-08
0.94,1.33968e-07,8.79797e-07,3.60652e-07,-1.96306e-07,-2.31999e-07
0.95,1.19261e-07,8.8985e-07,2.81691e-07,-1.02227e-07,-1.82429e-07
0.96,1.13711e-07,9.58965e-07,3.07557e-07,-3.08856e-09,-5.47208e-07
0.97,8.28663e-08,1.14033e-06,2.71092e-07,-2.0728e-07,-2.15099e-07
0.98,1.35228e-07,1.16552e-06,4.04219e-07,-1.13391e-07,-1.83331e-07
0.99,1.67524e-07,1.11149e-06,3.88475e-07,-1.41219e-07,-4.05705e-07
1,3.65089e-07,1.23892e-06,2.57225e-07,-1.33203e-07,-2.70307e-07
1.01,4.2527e-08,1.21821e-06,3.27126e-07,-2.61e-07,-2.04826e-07
1.02,3.01207e-07,4.23379e-07,2.26322e-07,-3.01396e-07,-2.11266e-07
1.03,2.31649e-07,9.8404e-07,3.52187e-08,-3.54237e-07,-3.64015e-07
1.04,1.89909e-07,1.15312e-06,3.10852e-07,-3.25748e-07,-3.67123e-07
1.05,1.49832e-07,1.24976e-06,3.47004e-07,-5.37349e-07,-3.83859e-07
1.06,2.20591e-07,1.31021e-06,2.7229e-07,-5.1735e-07,-4.42252e-07
1.07,3.05053e-07,1.41458e-06,4.82709e-07,-3.94078e-07,-4.91191e-07
1.08,4.25593e-07,1.40677e-06,2.43462e-07,-5.94292e-07,-4.41703e-07
1.09,6.36727e-07,1.45409e-06,3.07263e-07,-7.32251e-07,-4.29753e-07
1.1,4.66349e-07,1.35695e-06,3.13229e-07,-6.86791e-07,-3.46903e-07
1.11,5.63205e-07,1.94863e-06,4.41875e-07,-9.43607e-07,-7.93787e-07
1.12,9.06469e-07,2.23329e-06,3.63937e-07,-1.11106e-06,-6.96613e-07
1.13,7.95539e-07,2.16926e-06,6.01557e-07,-1.04129e-06,-3.97187e-07
1.14,6.52191e-07,2.39108e-06,7.3266e-07,-1.10358e-06,-4.53813e-07
1.15,7.37829e-07,1.88489e-06,5.93545e-07,-1.08119e-06,-2.93961e-07
1.16,6.1975e-07,1.63671e-06,5.76497e-07,-1.26764e-06,-3.43398e-07
1.17,7.79188e-07,2.14839e-06,9.15656e-07,-1.13328e-06,-4.46091e-07
1.18,1.1656e-06,2.52645e-06,7.90731e-07,-1.66763e-06,-5.36192e-07
1.19,1.34273e-06,2.70341e-06,1.84355e-06,-1.63151e-06,-7.51724e-07
1.2,1.11095e-06,2.47314e-06,9.48083e-07,-9.42129e-07,-6.48839e-07
1.21,1.13792e-06,2.35602e-06,9.13859e-07,-1.49077e-06,-7.07924e-07
