Date [s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
2.46,-0.513771,-0.0952685,0.090808,-0.0275014,-0.477666
2.48,-0.688034,-0.231185,0.0183507,-0.168851,-0.654341
2.5,-0.675465,-0.311823,-0.0340681,-0.251624,-0.675018
2.52,-0.496432,-0.180145,0.123225,-0.146929,-0.474197
2.54,-0.351256,0.037404,0.437236,0.0968263,-0.184347
2.56,-0.21885,0.221455,0.525197,0.301398,-0.0871507
2.58,-0.194124,0.356217,0.581455,0.441121,0.0380115
2.6,-0.105504,0.470679,0.657317,0.540969,0.0582426
2.62,-0.0604607,0.558564,0.717432,0.570344,0.0607562
2.64,-0.0314143,0.594791,0.697224,0.574963,0.0495798
2.66,-0.0454562,0.505561,0.500311,0.462446,-0.00376132
2.68,-0.127792,0.310673,0.229347,0.253838,-0.0968015
2.7,-0.289489,0.127425,0.0441829,0.0808252,-0.213089
2.72,-0.427761,-0.0399778,-0.103349,-0.0779901,-0.334555
2.74,-0.568455,-0.189328,-0.226093,-0.202376,-0.453079
2.76,-0.60133,-0.320324,-0.331726,-0.307423,-0.552588
2.78,-0.587998,-0.350444,-0.412939,-0.405479,-0.555982
2.8,-0.539356,-0.107932,-0.0604291,-0.366361,-0.432987
2.82,-0.494181,0.228765,0.298671,0.0321185,-0.328483
2.84,-0.425727,0.442665,0.485511,0.123038,-0.271518
2.86,-0.38071,0.551944,0.537587,0.147989,-0.261711
2.88,-0.399714,0.578503,0.496797,0.109964,-0.254782
2.9,-0.489206,0.454825,0.421608,0.0945154,-0.267653
2.92,-0.61356,0.394078,0.388672,0.0889852,-0.264979
2.94,-0.633958,0.459137,0.4343,0.106379,-0.29528
2.96,-0.597633,0.496996,0.494822,0.11331,-0.342374
2.98,-0.499617,0.4412,0.471375,0.0730702,-0.416894
3,-0.420621,0.321372,0.385689,0.0177744,-0.496726
3.02,-0.401046,0.256993,0.599933,0.0355276,-0.527764
3.04,-0.360736,0.307454,0.785849,0.201917,-0.498633
3.06,-0.336504,0.379625,0.813167,0.360818,-0.457055
3.08,-0.336857,0.419518,0.792295,0.422599,-0.4402
3.1,-0.322334,0.411182,0.76593,0.423088,-0.3994
3.12,-0.347487,0.329045,0.58634,0.310419,-0.418978
3.14,-0.362182,0.235666,0.434921,0.230178,-0.452795
3.16,-0.353607,0.242674,0.560788,0.233981,-0.463708
3.18,-0.251762,0.406062,0.689528,0.31,-0.464297
3.2,-0.154787,0.522916,0.701263,0.329814,-0.484858
3.22,-0.0609292,0.537486,0.596739,0.252352,-0.513109
3.24,-0.0803661,0.441699,0.333208,0.102818,-0.540735
3.26,-0.123608,0.31382,0.139622,-0.0441546,-0.551248
3.28,-0.16973,0.336916,0.268486,-0.0951753,-0.493305
3.3,-0.196965,0.432578,0.482821,0.040182,-0.399443
3.32,-0.234711,0.517819,0.546724,0.180129,-0.331418
3.34,-0.25239,0.528626,0.550651,0.287065,-0.253513
3.36,-0.294776,0.473304,0.521769,0.383096,-0.194036
3.38,-0.330924,0.388197,0.494091,0.386062,-0.177664
3.4,-0.30313,0.365782,0.437899,0.245732,-0.195866
3.42,-0.269966,0.335625,0.347131,0.123241,-0.237644
3.44,-0.247441,0.293203,0.258553,0.0699038,-0.283406
3.46,-0.237729,0.246137,0.296725,0.0894151,-0.334275
3.48,-0.261814,0.223946,0.390917,0.1582,-0.382497
3.5,-0.303979,0.21893,0.45585,0.219788,-0.408017
3.52,-0.334575,0.168718,0.503221,0.257944,-0.364197
3.54,-0.358542,0.0498108,0.469385,0.272796,-0.273434
3.56,-0.387235,-0.0181844,0.455284,0.170255,-0.214104
3.58,-0.398723,0.150001,0.594304,0.15457,-0.193889
3.6,-0.368091,0.426965,0.724286,0.176408,-0.158136
3.62,-0.312365,0.464707,0.755716,0.242206,-0.10483
3.64,-0.240671,0.389881,0.714264,0.266186,-0.0560966
3.66,-0.196747,0.3174,0.551416,0.218421,-0.0320762
3.68,-0.223981,0.188079,0.35235,0.119585,-0.0625898
3.7,-0.255451,0.102396,0.293385,0.0651592,-0.10106
3.72,-0.292199,0.12624,0.401171,0.0751043,-0.133115
3.74,-0.296746,0.249322,0.526782,0.115421,-0.147651
3.76,-0.267942,0.363252,0.543614,0.140957,-0.13243
3.78,-0.252964,0.382782,0.473677,0.149011,-0.101557
3.8,-0.264409,0.343985,0.422035,0.161859,-0.0714011
3.82,-0.309637,0.16765,0.328539,0.185706,-0.0957656
3.84,-0.369679,0.106609,0.273719,0.188558,-0.134819
3.86,-0.425617,0.132319,0.304288,0.235229,-0.180932
3.88,-0.472965,0.197994,0.37166,0.31567,-0.155733
3.9,-0.478426,0.333004,0.47933,0.329779,-0.156597
3.92,-0.437453,0.529034,0.554064,0.328108,-0.186146
3.94,-0.392028,0.589727,0.607858,0.304929,-0.224081
3.96,-0.367465,0.467403,0.513672,0.233354,-0.270979
3.98,-0.344553,0.338262,0.280556,0.134758,-0.341424
4,-0.431266,0.302234,0.407045,0.0730105,-0.359009
4.02,-0.470342,0.37977,0.583115,0.162314,-0.343987
4.04,-0.465031,0.451481,0.678941,0.262098,-0.325108
4.06,-0.467526,0.395046,0.533287,0.272521,-0.313256
4.08,-0.48348,0.221227,0.381673,0.229311,-0.299214
4.1,-0.463762,0.252593,0.452605,0.237232,-0.301341
4.12,-0.417623,0.427984,0.547772,0.265741,-0.301552
4.14,-0.376416,0.536636,0.612245,0.253015,-0.310214
4.16,-0.231739,0.44054,0.579255,0.198989,-0.327261
4.18,-0.126233,0.32599,0.288023,0.0577756,-0.351887
4.2,-0.0782575,0.278332,0.440173,0.0351087,-0.366897
4.22,-0.0624254,0.306208,0.546964,0.157372,-0.383541
4.24,-0.0829,0.327172,0.610956,0.304192,-0.37423
4.26,-0.127035,0.302231,0.53849,0.473002,-0.357952
4.28,-0.192328,0.169143,0.380648,0.468909,-0.322619
4.3,-0.257898,-0.00467534,0.244293,0.462172,-0.26057
4.32,-0.323185,-0.0685372,0.219904,0.429625,-0.211908
4.34,-0.36212,0.14194,0.300961,0.374567,-0.234159
4.36,-0.335674,0.340468,0.40545,0.335655,-0.239478
4.38,-0.209778,0.435361,0.488579,0.219175,-0.260527
4.4,-0.123459,0.466207,0.36588,0.0607581,-0.294594
4.42,-0.121466,0.328604,0.21015,-0.0677598,-0.317504
4.44,-0.179057,0.194993,0.17428,-0.146474,-0.328675
4.46,-0.250316,0.110386,0.215234,-0.168157,-0.336159
4.48,-0.307263,0.0881948,0.264866,-0.0979748,-0.35413
4.5,-0.298253,0.229177,0.353857,0.0426618,-0.337777
4.52,-0.147119,0.416517,0.469618,0.170075,-0.311576
4.54,-0.068711,0.448811,0.613131,0.260132,-0.27933
4.56,-0.0761969,0.323961,0.622566,0.290913,-0.223727
4.58,-0.0740254,0.266701,0.629353,0.227924,-0.17829
4.6,-0.0686242,0.222758,0.702414,0.224696,-0.171693
4.62,-0.0526005,0.193605,0.440011,0.287495,-0.191165
4.64,-0.0542647,0.173226,0.420392,0.273672,-0.21638
4.66,-0.0795614,0.152868,0.41621,0.331377,-0.224141
4.68,-0.112854,0.0974815,0.323428,0.405826,-0.190481
4.7,-0.146863,0.119651,0.21582,0.449113,-0.175906
4.72,-0.155499,0.187601,0.133753,0.428535,-0.144095
4.74,-0.159042,0.240587,0.115962,0.394209,-0.158947
4.76,-0.176908,0.273909,0.145491,0.361263,-0.166263
4.78,-0.210223,0.177713,0.146308,0.31925,-0.206585
4.8,-0.253718,0.0322148,0.0993329,0.273266,-0.255884
4.82,-0.283002,0.135048,0.0974604,0.223051,-0.276665
4.84,-0.282177,0.278638,0.13451,0.209749,-0.274051
4.86,-0.235904,0.365158,0.169647,0.193326,-0.265185
4.88,-0.116016,0.372069,0.184491,0.168146,-0.286163
4.9,-0.0488173,0.346841,0.141717,0.121264,-0.307442
4.92,-0.0230499,0.306699,0.0553896,0.0705492,-0.356928
4.94,-0.0529826,0.220461,-0.0570418,-0.0619581,-0.41578
4.96,-0.110954,0.10773,-0.113906,-0.0449161,-0.447693
4.98,-0.1793,0.0420001,-0.0845124,0.150517,-0.474839
5,-0.2296,-0.00540122,-0.017786,0.343159,-0.466106
5.02,-0.26165,-0.0117651,0.0303743,0.363661,-0.408068
5.04,-0.224848,-0.0242482,0.112081,0.343181,-0.286489
5.06,-0.186006,-0.00341795,0.15038,0.276365,-0.271121
5.08,-0.158868,0.0108508,0.088954,0.125552,-0.313295
5.1,-0.143692,0.0134424,0.0479302,0.0245195,-0.302176
5.12,-0.15705,0.0392817,0.205321,0.252484,-0.27425
5.14,-0.14421,0.0714732,0.465958,0.705056,-0.158738
