Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0516;300.16;0.00382789;0.0229203
0.0517;300.158;0.0038256;0.0229203
0.0518;300.156;0.00382331;0.0229203
0.0519;300.153;0.00382101;0.0229203
0.052;300.151;0.00381872;0.0229203
0.0521;300.149;0.00381643;0.0229203
0.0522;300.147;0.00381414;0.0229203
0.0523;300.145;0.00381185;0.0229203
0.0524;300.143;0.00380956;0.0229203
0.0525;300.141;0.00380726;0.0229203
0.0526;300.139;0.00380497;0.0229203
0.0527;300.137;0.00380268;0.0229203
0.0528;300.135;0.00380039;0.0229203
0.0529;300.133;0.00379809;0.0229203
0.053;300.131;0.0037958;0.0229203
0.0531;300.129;0.00379351;0.0229203
0.0532;300.127;0.00379122;0.0229203
0.0533;300.126;0.00378893;0.0229203
0.0534;300.124;0.00378664;0.0229203
0.0535;300.122;0.00378434;0.0229203
0.0536;300.12;0.00378205;0.0229203
0.0537;300.119;0.00377976;0.0229203
0.0538;300.117;0.00377747;0.0229203
0.0539;300.115;0.00377517;0.0229203
0.054;300.114;0.00377288;0.0229203
0.0541;300.112;0.00377059;0.0229202
0.0542;300.11;0.0037683;0.0229202
0.0543;300.109;0.00376601;0.0229202
0.0544;300.107;0.00376371;0.0229202
0.0545;300.106;0.00376142;0.0229202
0.0546;300.104;0.00375913;0.0229202
0.0547;300.103;0.00375684;0.0229202
0.0548;300.101;0.00375455;0.0229202
0.0549;300.1;0.00375225;0.0229202
0.055;300.098;0.00374996;0.0229202
0.0551;300.097;0.00374767;0.0229203
0.0552;300.096;0.00374538;0.0229203
0.0553;300.094;0.00374309;0.0229203
0.0554;300.093;0.00374079;0.0229203
0.0555;300.092;0.0037385;0.0229204
0.0556;300.09;0.00373621;0.0229204
0.0557;300.089;0.00373392;0.0229204
0.0558;300.088;0.00373163;0.0229204
0.0559;300.087;0.00372933;0.0229204
0.056;300.085;0.00372704;0.0229205
0.0561;300.084;0.00372475;0.0229205
0.0562;300.083;0.00372246;0.0229205
0.0563;300.082;0.00372017;0.0229205
0.0564;300.081;0.00371787;0.0229205
0.0565;300.079;0.00371558;0.0229206
0.0566;300.078;0.00371329;0.0229206
0.0567;300.077;0.003711;0.0229206
0.0568;300.076;0.0037087;0.0229206
0.0569;300.075;0.00370641;0.0229206
0.057;300.074;0.00370412;0.0229206
0.0571;300.073;0.00370183;0.0229206
0.0572;300.072;0.00369954;0.0229207
0.0573;300.071;0.00369725;0.0229207
0.0574;300.07;0.00369495;0.0229207
0.0575;300.069;0.00369266;0.0229207
0.0576;300.068;0.00369037;0.0229207
0.0577;300.067;0.00368808;0.0229207
0.0578;300.066;0.00368578;0.0229207
0.0579;300.065;0.00368349;0.0229207
0.058;300.064;0.0036812;0.0229208
0.0581;300.063;0.00367891;0.0229208
0.0582;300.062;0.00367662;0.0229208
0.0583;300.061;0.00367432;0.0229208
0.0584;300.061;0.00367203;0.0229208
0.0585;300.06;0.00366974;0.0229208
0.0586;300.059;0.00366745;0.0229208
0.0587;300.058;0.00366516;0.0229208
0.0588;300.057;0.00366286;0.0229208
0.0589;300.056;0.00366057;0.0229208
0.059;300.056;0.00365828;0.0229208
0.0591;300.055;0.00365599;0.0229209
0.0592;300.054;0.0036537;0.0229209
0.0593;300.053;0.0036514;0.0229209
0.0594;300.052;0.00364911;0.0229209
0.0595;300.052;0.00364682;0.0229209
0.0596;300.051;0.00364453;0.0229209
0.0597;300.05;0.00364223;0.0229209
0.0598;300.05;0.00363994;0.0229209
0.0599;300.049;0.00363765;0.0229209
0.06;300.048;0.00363536;0.0229209
0.0601;300.047;0.00363307;0.0229209
0.0602;300.047;0.00363078;0.0229209
0.0603;300.046;0.00362848;0.0229209
0.0604;300.045;0.00362619;0.0229209
0.0605;300.045;0.0036239;0.0229209
0.0606;300.044;0.00362161;0.0229209
0.0607;300.044;0.00361931;0.0229209
0.0608;300.043;0.00361702;0.022921
0.0609;300.042;0.00361473;0.022921
0.061;300.042;0.00361244;0.022921
0.0611;300.041;0.00361015;0.022921
0.0612;300.041;0.00360785;0.022921
0.0613;300.04;0.00360556;0.022921
0.0614;300.039;0.00360327;0.022921
0.0615;300.039;0.00360098;0.022921
0.0616;300.038;0.00359869;0.022921
0.0617;300.038;0.00359639;0.022921
0.0618;300.037;0.0035941;0.022921
0.0619;300.037;0.00359181;0.022921
0.062;300.036;0.00358952;0.022921
0.0621;300.036;0.00358723;0.022921
0.0622;300.035;0.00358493;0.022921
0.0623;300.035;0.00358264;0.022921
0.0624;300.034;0.00358035;0.022921
0.0625;300.034;0.00357806;0.022921
0.0626;300.033;0.00357576;0.022921
0.0627;300.033;0.00357347;0.022921
0.0628;300.032;0.00357118;0.022921
0.0629;300.032;0.00356889;0.022921
0.063;300.031;0.0035666;0.022921
0.0631;300.031;0.0035643;0.022921
0.0632;300.03;0.00356201;0.022921
0.0633;300.03;0.00355972;0.022921
0.0634;300.03;0.00355743;0.022921
0.0635;300.029;0.00355514;0.022921
0.0636;300.029;0.00355284;0.022921
0.0637;300.028;0.00355055;0.022921
0.0638;300.028;0.00354826;0.022921
0.0639;300.028;0.00354597;0.022921
0.064;300.027;0.00354368;0.022921
0.0641;300.027;0.00354138;0.022921
0.0642;300.026;0.00353909;0.022921
0.0643;300.026;0.0035368;0.022921
0.0644;300.026;0.00353451;0.022921
0.0645;300.025;0.00353221;0.0229211
0.0646;300.025;0.00352992;0.0229211
0.0647;300.025;0.00352763;0.0229211
0.0648;300.024;0.00352534;0.0229211
0.0649;300.024;0.00352305;0.0229211
0.065;300.024;0.00352075;0.0229211
0.0651;300.023;0.00351846;0.0229211
0.0652;300.023;0.00351617;0.0229211
0.0653;300.023;0.00351388;0.0229211
0.0654;300.022;0.00351159;0.0229211
0.0655;300.022;0.00350929;0.0229211
0.0656;300.022;0.003507;0.0229211
0.0657;300.021;0.00350471;0.0229211
0.0658;300.021;0.00350242;0.0229211
0.0659;300.021;0.00350012;0.0229211
0.066;300.02;0.00349783;0.0229211
0.0661;300.02;0.00349554;0.0229211
0.0662;300.02;0.00349325;0.0229211
0.0663;300.02;0.00349096;0.0229211
0.0664;300.019;0.00348866;0.0229211
0.0665;300.019;0.00348637;0.0229211
0.0666;300.019;0.00348408;0.0229211
0.0667;300.018;0.00348179;0.0229211
0.0668;300.018;0.0034795;0.0229211
0.0669;300.018;0.0034772;0.0229211
0.067;300.018;0.00347491;0.0229211
0.0671;300.017;0.00347262;0.0229212
0.0672;300.017;0.00347033;0.0229212
0.0673;300.017;0.00346804;0.0229212
0.0674;300.017;0.00346574;0.0229212
0.0675;300.016;0.00346345;0.0229212
