Date [s],Average:Temperature (Study 01 - Particles) [K]
0,-1.#IND
18.4,1.32165e-120
18.45,6.24283e-121
18.5,2.9488e-121
18.55,1.39287e-121
18.6,6.57773e-122
18.65,3.10699e-122
18.7,1.46759e-122
18.75,6.93217e-123
18.8,3.27367e-123
18.85,1.54632e-123
18.9,7.30405e-124
18.95,3.45007e-124
19,1.62964e-124
19.05,7.69588e-125
19.1,3.63515e-125
19.15,1.71707e-125
19.2,8.11058e-126
19.25,3.83016e-126
19.3,1.80918e-126
19.35,8.54567e-127
19.4,4.03655e-127
19.45,1.90667e-127
19.5,9.00411e-128
19.55,4.2531e-128
19.6,2.00895e-128
19.65,9.4893e-129
19.7,4.48126e-129
19.75,2.11672e-129
19.8,9.99836e-130
19.85,4.72273e-130
19.9,2.23078e-130
19.95,1.05347e-130
20,4.97608e-131
