date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0364;300.452;0.00661641;0.0222219
0.0365;300.445;0.00661418;0.0222194
0.0366;300.439;0.00661196;0.022217
0.0367;300.433;0.00660974;0.0222147
0.0368;300.426;0.00660752;0.0222124
0.0369;300.42;0.0066053;0.0222102
0.037;300.414;0.00660308;0.0222081
0.0371;300.409;0.00660086;0.0222061
0.0372;300.403;0.00659864;0.0222041
0.0373;300.397;0.00659642;0.0222021
0.0374;300.391;0.0065942;0.0222003
0.0375;300.386;0.00659198;0.0221984
0.0376;300.38;0.00658976;0.0221967
0.0377;300.375;0.00658754;0.022195
0.0378;300.37;0.00658532;0.0221933
0.0379;300.364;0.0065831;0.0221917
0.038;300.359;0.00658088;0.0221901
0.0381;300.354;0.00657866;0.0221886
0.0382;300.349;0.00657644;0.0221872
0.0383;300.344;0.00657422;0.0221857
0.0384;300.339;0.00657201;0.0221844
0.0385;300.334;0.00656979;0.022183
0.0386;300.33;0.00656757;0.0221817
0.0387;300.325;0.00656535;0.0221805
0.0388;300.32;0.00656313;0.0221793
0.0389;300.316;0.00656091;0.0221781
0.039;300.311;0.0065587;0.022177
0.0391;300.307;0.00655648;0.0221758
0.0392;300.303;0.00655426;0.0221748
0.0393;300.298;0.00655204;0.0221737
0.0394;300.294;0.00654983;0.0221727
0.0395;300.29;0.00654761;0.0221717
0.0396;300.286;0.00654539;0.0221708
0.0397;300.282;0.00654318;0.0221699
0.0398;300.278;0.00654096;0.022169
0.0399;300.274;0.00653874;0.0221681
0.04;300.27;0.00653653;0.0221673
0.0401;300.266;0.00653431;0.0221665
0.0402;300.262;0.00653209;0.0221657
0.0403;300.258;0.00652988;0.0221649
0.0404;300.255;0.00652766;0.0221642
0.0405;300.251;0.00652544;0.0221635
0.0406;300.248;0.00652323;0.0221628
0.0407;300.244;0.00652101;0.0221621
0.0408;300.241;0.00651879;0.0221614
0.0409;300.237;0.00651658;0.0221608
0.041;300.234;0.00651436;0.0221602
0.0411;300.231;0.00651215;0.0221596
0.0412;300.227;0.00650993;0.022159
0.0413;300.224;0.00650771;0.0221584
0.0414;300.221;0.0065055;0.0221579
0.0415;300.218;0.00650328;0.0221574
0.0416;300.215;0.00650107;0.0221569
0.0417;300.212;0.00649885;0.0221637
0.0418;300.209;0.00649663;0.022177
0.0419;300.206;0.00649442;0.0221899
0.042;300.203;0.0064922;0.0222024
0.0421;300.2;0.00648997;0.0222145
0.0422;300.197;0.00648775;0.0222263
0.0423;300.194;0.00648553;0.0222377
0.0424;300.192;0.00648331;0.0222488
0.0425;300.189;0.00648108;0.0222595
0.0426;300.186;0.00647885;0.0222699
0.0427;300.184;0.00647663;0.02228
0.0428;300.181;0.0064744;0.0222898
0.0429;300.178;0.00647217;0.0222992
0.043;300.176;0.00646994;0.0223084
0.0431;300.173;0.00646771;0.0223173
0.0432;300.171;0.00646547;0.022326
0.0433;300.168;0.00646324;0.0223344
0.0434;300.166;0.00646101;0.0223425
0.0435;300.164;0.00645877;0.0223504
0.0436;300.161;0.00645654;0.022358
0.0437;300.159;0.0064543;0.0223654
0.0438;300.157;0.00645206;0.0223726
0.0439;300.155;0.00644983;0.0223796
0.044;300.152;0.00644759;0.0223863
0.0441;300.15;0.00644535;0.0223929
0.0442;300.148;0.00644311;0.0223992
0.0443;300.146;0.00644087;0.0224054
0.0444;300.144;0.00643863;0.0224113
0.0445;300.142;0.00643639;0.0224171
0.0446;300.14;0.00643415;0.0224227
0.0447;300.138;0.0064319;0.0224282
0.0448;300.136;0.00642966;0.0224334
0.0449;300.134;0.00642742;0.0224385
0.045;300.132;0.00642517;0.0224435
0.0451;300.13;0.00642293;0.0224483
0.0452;300.128;0.00642068;0.022453
0.0453;300.127;0.00641844;0.0224575
0.0454;300.125;0.00641619;0.0224619
0.0455;300.123;0.00641394;0.0224661
0.0456;300.121;0.0064117;0.0224702
0.0457;300.12;0.00640945;0.0224742
0.0458;300.118;0.0064072;0.0224781
0.0459;300.116;0.00640495;0.0224818
0.046;300.115;0.00640271;0.0224855
0.0461;300.113;0.00640046;0.022489
0.0462;300.111;0.00639821;0.0224924
0.0463;300.11;0.00639596;0.0224957
0.0464;300.108;0.00639371;0.022499
0.0465;300.107;0.00639146;0.0225021
0.0466;300.105;0.00638921;0.0225051
0.0467;300.104;0.00638696;0.022508
0.0468;300.102;0.00638471;0.0225109
0.0469;300.101;0.00638246;0.0225136
0.047;300.099;0.00638021;0.0225163
0.0471;300.098;0.00637795;0.0225189
0.0472;300.097;0.0063757;0.0225214
0.0473;300.095;0.00637345;0.0225238
0.0474;300.094;0.0063712;0.0225262
0.0475;300.093;0.00636894;0.0225285
0.0476;300.091;0.00636669;0.0225307
0.0477;300.09;0.00636444;0.0225329
0.0478;300.089;0.00636218;0.0225349
0.0479;300.087;0.00635993;0.022537
0.048;300.086;0.00635768;0.0225389
0.0481;300.085;0.00635542;0.0225408
0.0482;300.084;0.00635317;0.0225427
0.0483;300.083;0.00635091;0.0225445
0.0484;300.081;0.00634866;0.0225462
0.0485;300.08;0.00634641;0.0225479
0.0486;300.079;0.00634415;0.0225495
0.0487;300.078;0.0063419;0.0225511
0.0488;300.077;0.00633964;0.0225526
0.0489;300.076;0.00633739;0.0225541
0.049;300.075;0.00633513;0.0225555
0.0491;300.074;0.00633287;0.0225569
0.0492;300.073;0.00633062;0.0225583
0.0493;300.072;0.00632836;0.0225596
0.0494;300.071;0.00632611;0.0225609
0.0495;300.07;0.00632385;0.0225621
0.0496;300.069;0.00632159;0.0225633
0.0497;300.068;0.00631934;0.0225644
0.0498;300.067;0.00631708;0.0225656
0.0499;300.066;0.00631482;0.0225666
0.05;300.065;0.00631257;0.0225677
0.0501;300.064;0.00631031;0.0225687
0.0502;300.063;0.00630805;0.0225697
0.0503;300.062;0.0063058;0.0225707
0.0504;300.061;0.00630354;0.0225716
0.0505;300.06;0.00630128;0.0225725
0.0506;300.059;0.00629903;0.0225734
0.0507;300.059;0.00629677;0.0225742
0.0508;300.058;0.00629451;0.0225751
0.0509;300.057;0.00629225;0.0225759
0.051;300.056;0.00629;0.0225766
0.0511;300.055;0.00628774;0.0225774
0.0512;300.055;0.00628548;0.0225781
0.0513;300.054;0.00628322;0.0225788
0.0514;300.053;0.00628096;0.0225795
0.0515;300.052;0.00627871;0.0225802
0.0516;300.051;0.00627645;0.0225808
0.0517;300.051;0.00627419;0.0225814
0.0518;300.05;0.00627193;0.022582
0.0519;300.049;0.00626967;0.0225826
0.052;300.049;0.00626741;0.0225832
0.0521;300.048;0.00626516;0.0225838
0.0522;300.047;0.0062629;0.0225843
0.0523;300.047;0.00626064;0.0225848
0.0524;300.046;0.00625838;0.0225853
0.0525;300.045;0.00625612;0.0225858
0.0526;300.045;0.00625386;0.0225863
0.0527;300.044;0.00625161;0.0225867
0.0528;300.043;0.00624935;0.0225874
0.0529;300.043;0.00624709;0.0225887
0.053;300.042;0.00624483;0.02259
0.0531;300.042;0.00624257;0.0225912
0.0532;300.041;0.00624031;0.0225924
0.0533;300.04;0.00623805;0.0225936
0.0534;300.04;0.00623579;0.0225947
0.0535;300.039;0.00623353;0.0225957
